requestid,boro,yr,m,d,hh,mm,vol,segmentid,wktgeom,street,fromst,tost,direction
34178,Brooklyn,2022,1,4,16,0,111,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,16,15,98,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,16,30,122,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,16,45,102,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,17,0,156,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,17,15,138,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,17,30,98,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,17,45,96,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,18,0,106,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,18,15,93,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,18,30,69,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,18,45,79,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,19,0,82,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,19,15,72,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,19,30,64,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,19,45,52,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,20,0,78,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,20,15,59,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,20,30,50,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,20,45,44,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,21,0,41,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,21,15,42,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,21,30,30,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,21,45,42,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,22,0,35,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,22,15,26,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,22,30,31,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,22,45,16,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,23,0,30,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,23,15,25,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,23,30,16,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,4,23,45,14,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,0,0,8,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,0,15,12,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,0,30,14,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,0,45,12,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,0,13,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,30,3,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,1,45,2,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,0,2,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,15,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,30,8,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,2,45,0,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,0,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,30,4,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,3,45,1,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,0,3,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,15,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,30,5,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,4,45,6,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,0,10,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,15,10,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34178,Brooklyn,2022,1,5,5,30,20,189074,POINT (993228.5264971782 150600.75237618468),OCEAN PARKWAY,Dead End,Ocean View Avenue,NB
34815,Bronx,2022,4,11,7,0,77,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,15,75,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,30,78,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,7,45,72,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
34815,Bronx,2022,4,11,8,0,70,89528,POINT (1026062.2270505144 269645.6241261366),WHITE PLAINS ROAD,East 243 Street,Dead end,SB
